Year,month,day,hour,dry temperature,dew temperature,relative humdity,air pressure,,GHI,DNI,DHI,wind direction,wind speed,cloudcover,
2005,1,1,1,-4.8,-15,41,84900,228,0,0,0,293,2.5,3,3
2005,1,1,2,-5.7,-15,44,84900,231,0,0,0,41,2.5,6,6
2005,1,1,3,-6.6,-15,47,84900,230,0,0,0,0,0,7,7
2005,1,1,4,-7.5,-15.1,51,84900,214,0,0,0,246,0,1,1
2005,1,1,5,-8.4,-15.3,54,84900,221,0,0,0,121,0,6,6
2005,1,1,6,-9.2,-15.5,57,84900,215,0,0,0,188,0,4,4
2005,1,1,7,-9.7,-15.6,59,84900,217,0,0,0,108,0,6,6
2005,1,1,8,-9.9,-15.5,60,84900,219,0,0,0,28,0,7,7
2005,1,1,9,-9.8,-15.4,60,84900,215,0,0,0,45,1,5,5
2005,1,1,10,-9.4,-15.3,58,84900,216,91,180,41,331,1,5,5
2005,1,1,11,-8.5,-14.9,56,84900,216,232,317,105,329,1,3,3
2005,1,1,12,-7.2,-14.4,53,84900,229,364,414,165,105,1,7,7
2005,1,1,13,-5.5,-13.6,49,84900,233,459,490,208,231,1,6,6
2005,1,1,14,-3.3,-12.4,45,84900,233,247,0,247,265,1,2,2
2005,1,1,15,-0.6,-10.7,42,84900,266,233,0,233,0,0,9,9
2005,1,1,16,2.3,-8.8,40,84900,273,381,667,172,298,0,8,8
2005,1,1,17,3.7,-8.2,38,84900,263,126,0,126,186,0,2,2
2005,1,1,18,3.2,-8.9,37,84900,260,112,0,51,198,0,2,2
2005,1,1,19,1.8,-10.1,37,84900,256,0,0,0,185,0,3,3
2005,1,1,20,0.1,-11.5,37,84900,253,0,0,0,93,0,5,5
2005,1,1,21,-1.6,-13.1,37,84900,239,0,0,0,0,0,2,2
2005,1,1,22,-2.9,-14,38,84900,237,0,0,0,312,0,4,4
2005,1,1,23,-3.9,-14.6,39,84900,222,0,0,0,178,0,0,0
2005,1,1,24,-4.7,-14.8,41,84900,241,0,0,0,139,0,8,8
2005,1,2,1,-5.3,-15,42,84780,224,0,0,0,191,0,2,2
2005,1,2,2,-6,-15,45,84780,230,0,0,0,137,0,6,6
2005,1,2,3,-6.7,-15.1,47,84780,223,0,0,0,0,0,4,4
2005,1,2,4,-7.6,-15.3,50,84780,216,0,0,0,201,0,2,2
2005,1,2,5,-8.5,-15.7,52,84780,217,0,0,0,176,0,4,4
2005,1,2,6,-9.4,-16,55,84780,224,0,0,0,127,0,8,8
2005,1,2,7,-10,-16.3,56,84780,205,0,0,0,89,0,1,1
2005,1,2,8,-10.2,-16.3,58,84780,201,0,0,0,125,0,0,0
2005,1,2,9,-10.1,-16.3,57,84780,225,0,0,0,0,0,9,9
2005,1,2,10,-9.4,-16.1,55,84780,223,161,315,74,71,0,8,8
2005,1,2,11,-8.2,-15.5,52,84780,207,123,0,123,69,0,0,0
2005,1,2,12,-6.5,-14.7,48,84780,231,193,0,193,3,0,7,7
