hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3
0,R134a,1,332.546952,323.150000,1657.916251,1317.905490,430510.354843,425907.118654,423934.303144,263896.712615
1,R134a,1,319.917019,323.150000,1214.032273,1317.905490,425800.368629,427481.435661,428201.892960,263896.712615
2,R134a,1,302.094763,323.150000,747.107059,1317.905490,417453.293189,429290.837702,434364.071065,263896.712615
3,R134a,1,326.309680,323.150000,1425.733568,1317.905490,428339.451909,426744.278306,426060.632476,263896.712615
4,R134a,1,319.264669,323.150000,1193.840929,1317.905490,425525.618697,427551.861120,428420.250730,263896.712615
5,R134a,1,258.293936,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
6,R134a,0,408.853062,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
7,R134a,1,285.281840,323.150000,444.937828,1317.905490,408358.716408,431234.681409,441038.666409,263896.712615
8,R134a,1,-23.952107,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
9,R134a,0,1338.868617,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
10,R134a,1,-1133.038305,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
11,R134a,1,107.981612,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
12,R134a,0,6917.095641,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
13,R134a,1,-18326.196468,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
14,R134a,0,29502.045601,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
15,R134a,1,-14647.632647,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
16,R134a,1,-67671.102378,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
17,R134a,0,274971.873186,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
18,R134a,1,-633312.268123,323.150000,304.652932,1317.905490,401942.849839,432928.382973,446207.897174,263896.712615
19,R134a,0,1054888.830664,323.150000,inf,1317.905490,inf,inf,-nan(ind),263896.712615
