step,T_source_out_C,T_return_C,COP,Q_out_kW,P_el_kW,Q_geo_kW,model,T_tank_C,HP_on,Q_space_req_kW,Q_dhw_req_kW,Q_space_served_kW,Q_dhw_served_kW,Q_unmet_kW,flow_kgps,dP_kPa,P_pump_kW
0,62.3970,62.3970,0.0000,0.0000,0.0000,-204.2049,CP,30.0000,0,141.2800,0.3000,16.5893,0.3000,124.6907,4.0000,176.7164,1.0128
1,49.7670,47.7670,8.0000,111.1317,13.8915,-176.4826,CP,30.0000,1,142.4800,0.3000,110.6317,0.3000,31.8483,11.6149,1194.4939,19.8796
2,31.9448,29.9448,8.0000,111.3562,13.9195,-35.1586,CP,30.0000,1,142.9200,0.3000,110.8562,0.3000,32.0638,11.6384,1198.8550,19.9925
3,56.1597,54.1597,8.0000,111.1521,13.8940,-236.1448,CP,30.0000,1,142.5200,0.3000,110.6521,0.3000,31.8679,11.6171,1194.8901,19.8898
4,49.1147,47.1147,8.0000,110.5397,13.8175,-175.3579,CP,30.0000,1,141.3200,0.3000,110.0397,0.3000,31.2803,11.5531,1183.0309,19.5839
5,-11.8561,-11.8561,0.0000,0.0000,0.0000,403.4929,CP,30.0000,1,139.4400,0.3000,0.0000,0.0000,139.7400,11.4528,1164.5595,19.1109
6,138.7031,136.7031,8.0000,109.8457,13.7307,-893.5603,FB,30.0000,1,136.9600,3.3000,106.3457,3.3000,30.6143,11.4805,1169.6554,19.2410
7,15.1318,13.1318,3.8879,127.6657,32.8366,108.2753,CP,30.0000,1,134.0800,3.3000,124.1657,3.3000,9.9143,11.3269,1141.5586,18.5275
8,-294.1021,-294.1021,0.0000,0.0000,0.0000,2640.0615,CP,30.0000,1,131.0000,0.3000,0.0000,0.0000,131.3000,11.0027,1083.2618,17.0780
9,1068.7186,1066.7186,8.0000,103.6814,12.9602,-8304.4788,FB,30.0000,1,127.8800,0.3000,103.1814,0.3000,24.6986,10.8363,1053.8847,16.3636
10,-1403.1883,-1403.1883,0.0000,0.0000,0.0000,11455.7025,CP,30.0000,1,125.0000,0.3000,0.0000,0.0000,125.3000,10.6827,1027.0924,15.7216
11,-162.1684,-162.1684,0.0000,0.0000,0.0000,1965.4573,CP,30.0000,1,122.5200,0.3000,0.0000,0.0000,122.8200,10.5504,1004.2719,15.1819
12,6646.9456,6644.9456,8.0000,99.9869,12.4984,-53934.0054,FB,30.0000,1,120.6400,0.3000,99.4869,0.3000,21.1531,10.4501,987.1274,14.7809
13,-18596.3465,-18596.3465,0.0000,0.0000,0.0000,150564.3497,CP,30.0000,1,119.4400,0.3000,0.0000,0.0000,119.7400,10.3861,976.2539,14.5286
14,29231.8956,29229.8956,8.0000,99.1704,12.3963,-233079.3406,FB,30.0000,1,119.0400,0.3000,98.6704,0.3000,20.3696,10.3648,972.6416,14.4451
15,-14917.7826,-14917.7826,0.0000,0.0000,0.0000,108974.8212,CP,30.0000,1,119.4800,0.3000,0.0000,0.0000,119.7800,10.3883,976.6155,14.5370
16,-67941.2524,-67941.2524,0.0000,0.0000,0.0000,580896.7769,CP,30.0000,1,120.6800,0.3000,0.0000,0.0000,120.9800,10.4523,987.4907,14.7894
17,274701.7232,274699.7232,8.0000,100.9871,12.6234,-2282094.3249,FB,30.0000,1,122.6000,0.3000,100.4871,0.3000,22.1129,10.5547,1005.0044,15.1992
18,-633582.4181,-633582.4181,0.0000,0.0000,0.0000,5208707.4974,CP,30.0000,1,125.1200,0.3000,0.0000,0.0000,125.4200,10.6891,1028.2025,15.7480
19,1054618.6807,1054616.6807,8.0000,105.2735,13.1592,-8558304.4947,FB,30.0000,1,128.0000,3.3000,101.7735,3.3000,26.2265,11.0027,1083.2618,17.0780
20,-1194576.7477,-1194576.7477,0.0000,0.0000,0.0000,9457375.6141,CP,30.0000,1,131.1200,3.3000,0.0000,0.0000,134.4200,11.1691,1113.0043,17.8123
21,3684.8043,3682.8043,8.0000,106.9269,13.3659,941107.6483,FB,30.0000,1,134.2400,0.3000,106.4269,0.3000,27.8131,11.1755,1114.1555,17.8410
22,5017270.5656,5017268.5656,8.0000,108.4169,13.5521,-43448577.6893,FB,30.0000,1,137.1600,0.3000,107.9169,0.3000,29.2431,11.3312,1142.3349,18.5471
23,-19099249.3465,-19099249.3465,0.0000,0.0000,0.0000,161228883.8509,CP,30.0000,1,139.6400,0.3000,0.0000,0.0000,139.9400,11.4635,1166.5182,19.1608
24,52177463.4290,52177461.4290,8.0000,110.6622,13.8328,-435595563.5215,FB,30.0000,1,141.5600,0.3000,110.1622,0.3000,31.3978,11.5659,1185.3984,19.6449
25,-119622930.8888,-119622930.8888,0.0000,0.0000,0.0000,990570607.9398,CP,30.0000,1,142.7600,0.3000,0.0000,0.0000,143.0600,11.6299,1197.2683,19.9514
26,234766942.0640,234766940.0640,8.0000,111.4991,13.9374,-1928378798.2326,FB,30.0000,1,143.2000,0.3000,110.9991,0.3000,32.2009,11.6533,1201.6340,20.0645
27,-372663594.8113,-372663594.8113,0.0000,0.0000,0.0000,3025693680.2688,CP,30.0000,1,142.8000,0.3000,0.0000,0.0000,143.1000,11.6320,1197.6649,19.9617
28,355459062.9946,355459060.9946,8.0000,110.6826,13.8353,-2780320414.0446,FB,30.0000,1,141.6000,0.3000,110.1826,0.3000,31.4174,11.5680,1185.7932,19.6550
29,436142019.3016,436142017.3016,8.0000,109.7233,13.7154,-3978784263.7573,FB,30.0000,1,139.7200,0.3000,109.2233,0.3000,30.4967,11.4677,1167.3022,19.1808
30,-3599193772.1556,-3599193772.1556,0.0000,0.0000,0.0000,30478030232.0296,CP,30.0000,1,137.2400,3.3000,0.0000,0.0000,140.5400,11.4955,1172.4035,19.3113
31,12798151192.1762,12798151190.1762,8.0000,108.5190,13.5649,-107111940803.1127,FB,30.0000,1,134.3600,3.3000,105.0190,3.3000,29.3410,11.3419,1144.2766,18.5961
32,-35125054686.5809,-35125054686.5809,0.0000,0.0000,0.0000,292873296988.5347,CP,30.0000,1,131.2800,0.3000,0.0000,0.0000,131.5800,11.0176,1085.9161,17.1431
33,78956841108.8976,78956841106.8976,8.0000,103.8243,12.9780,-655739655350.6906,FB,30.0000,1,128.1600,0.3000,103.3243,0.3000,24.8357,10.8512,1056.5061,16.4269
34,-146682574125.9250,-146682574125.9250,0.0000,0.0000,0.0000,1214689796020.2307,CP,30.0000,1,125.2800,0.3000,0.0000,0.0000,125.5800,10.6976,1029.6835,15.7833
35,205673261796.8539,205673261794.8539,8.0000,101.0891,12.6361,-1694565192685.1011,FB,30.0000,1,122.8000,0.3000,100.5891,0.3000,22.2109,10.5653,1006.8368,15.2423
36,-116230217777.5969,-116230217777.5969,0.0000,0.0000,0.0000,929603723876.2568,CP,30.0000,1,120.9200,0.3000,0.0000,0.0000,121.2200,10.4651,989.6723,14.8402
37,-516274286886.9760,-516274286886.9760,0.0000,0.0000,0.0000,4362808706959.2612,CP,30.0000,1,119.7200,0.3000,0.0000,0.0000,120.0200,10.4011,978.7862,14.5872
38,2592790102338.4980,2592790102336.4980,8.0000,99.3133,12.4142,-21653540478435.8164,FB,30.0000,1,119.3200,0.3000,98.8133,0.3000,20.5067,10.3797,975.1696,14.5035
39,-7841051984302.9814,-7841051984302.9814,0.0000,0.0000,0.0000,65222980394926.6562,CP,30.0000,1,119.7600,0.3000,0.0000,0.0000,120.0600,10.4032,979.1482,14.5956
40,18983557882721.0820,18983557882719.0820,8.0000,100.1502,12.5188,-157492510784075.4062,FB,30.0000,1,120.9600,0.3000,99.6502,0.3000,21.3098,10.4672,990.0361,14.8487
41,-39027103065799.6484,-39027103065799.6484,0.0000,0.0000,0.0000,323083633697590.5625,CP,30.0000,1,122.8800,0.3000,0.0000,0.0000,123.1800,10.5696,1007.5702,15.2595
42,67896466316298.6406,67896466316296.6406,8.0000,102.3955,12.7994,-561124789603120.0625,FB,30.0000,1,125.3600,0.3000,101.8955,0.3000,23.4645,10.7019,1030.4243,15.8009
43,-92107992099527.6562,-92107992099527.6562,0.0000,0.0000,0.0000,759096678874607.1250,CP,30.0000,1,128.2800,3.3000,0.0000,0.0000,131.5800,11.0176,1085.9161,17.1431
44,64331163693652.8125,64331163693650.8125,8.0000,107.0085,13.3761,-534009615666454.0625,FB,30.0000,1,131.4000,3.3000,103.5085,3.3000,27.8915,11.1840,1115.6913,17.8792
45,161175565072563.4375,161175565072561.4375,8.0000,107.0697,13.3837,-1309245553276336.2500,FB,30.0000,1,134.5200,0.3000,106.5697,0.3000,27.9503,11.1904,1116.8438,17.9079
46,-932116395383374.5000,-932116395383374.5000,0.0000,0.0000,0.0000,7607355476056953.0000,CP,30.0000,1,137.4000,0.3000,0.0000,0.0000,137.7000,11.3440,1144.6652,18.6059
47,2992211871748904.5000,2992211871748902.5000,8.0000,109.8253,13.7282,-24423028056433284.0000,FB,30.0000,1,139.9200,0.3000,109.3253,0.3000,30.5947,11.4784,1169.2631,19.2309
48,-7790807026266506.0000,-7790807026266506.0000,0.0000,0.0000,0.0000,63576873490373456.0000,CP,30.0000,1,141.8400,0.3000,0.0000,0.0000,142.1400,11.5808,1188.1633,19.7161
49,17815222380775072.0000,17815222380775070.0000,8.0000,111.4174,13.9272,-145384792350167040.0000,FB,30.0000,1,143.0400,0.3000,110.9174,0.3000,32.1226,11.6448,1200.0457,20.0233
50,-36548087400284728.0000,-36548087400284728.0000,0.0000,0.0000,0.0000,298415123009410944.0000,CP,30.0000,1,143.4400,0.3000,0.0000,0.0000,143.7400,11.6661,1204.0184,20.1264
51,66696234509701536.0000,66696234509701536.0000,8.0000,111.4174,13.9272,-545331236681304192.0000,FB,30.0000,1,143.0400,0.3000,110.9174,0.3000,32.1226,11.6448,1200.0457,20.0233
52,-103067866508522416.0000,-103067866508522416.0000,0.0000,0.0000,0.0000,845486569246512384.0000,CP,30.0000,1,141.8800,0.3000,0.0000,0.0000,142.1800,11.5829,1188.5585,19.7263
53,111430780764951568.0000,111430780764951568.0000,8.0000,109.8457,13.7307,-923923141446321408.0000,FB,30.0000,1,139.9600,0.3000,109.3457,0.3000,30.6143,11.4805,1169.6554,19.2410
54,22332318899260020.0000,22332318899260020.0000,8.0000,110.1111,13.7639,-142781627592991904.0000,FB,30.0000,1,137.4800,3.3000,106.6111,3.3000,30.8689,11.5083,1174.7614,19.3716
55,-611291755813877120.0000,-611291755813877120.0000,0.0000,0.0000,0.0000,4883869753112039424.0000,CP,30.0000,1,134.6000,3.3000,0.0000,0.0000,137.9000,11.3547,1146.6087,18.6551
